url	score	metaTitle	metaDescription	desktop_screenshot	mobile_screenshot
http://peckwaterbrands.com	95	Peckwater Brands | Extra Orders & Revenue With A Virtual Brand	Peckwater Brands is a delivery franchise for kitchen operators, and the fastest growing virtual brand company worldwide. Launch a virtual kitchen today!	https://drive.google.com/uc?id=1Lj7AKfct3qv0m-smxP-dr2GnQlOBgbdq	https://drive.google.com/uc?id=17L1tLVjpMCvzyThT0cXybOwSSPOzDVK9
http://trypencil.com	96	Pencil - Make Ads That Work	Make ads twice as fast with generative AI. Halve your costs and double your ad performance - without compromising on quality.	https://drive.google.com/uc?id=1nwfl6cKnTc3O92oI9puXcURXCppChUgf	https://drive.google.com/uc?id=1UrF5sT1nBE3saVFs7j4WaMAcTm-0oMnZ
http://peersupport.io	90	Empowering Peer & Community Health Providers | Innovative Healthcare Solutions	Empowering peer and community health providers in over 68 regions. Our innovative solutions offer real-time health metrics and streamlined administration, reshaping the healthcare experience for both patients and practitioners.	https://drive.google.com/uc?id=1WiQgcDBib9J9twG3ZPWKUUmlZxKgIErA	https://drive.google.com/uc?id=1gE3fzoqTRLea96z4qiQPNYhiFdv8xCSL
http://pendulumchain.org	92	Pendulum - Limitless fiat. Decentralized future.	Pendulum's interoperable blockchain brings together high-quality fiat tokens in a single, powerful DeFi network. Offering composable fiat solutions with 1000x performance.	https://drive.google.com/uc?id=10N8K8D1HVIL_U0t0tMo6uNlSBJiW_uU0	https://drive.google.com/uc?id=1H2asy7TBQeM5pOZt2RPsgobJXvw6qqaE
http://pensight.com	97	Pensight - Monetize Your Knowledge	All-in-one solution to build your knowledge business with a website, digital products, courses, memberships, 1:1 and group coaching, and Q&A	https://drive.google.com/uc?id=1iBmvkupytWSODJfsiFQvpi0EgfsVL-SU	https://drive.google.com/uc?id=1nVPnL0EEKEyHrU7t8nHqEoUzdtKbk63L
http://peptalkhq.com	93	The Team Experience Platform | PepTalk	PepTalk is the all-in-one platform for leaders, managers and individuals - perfect for remote, hybrid and in-person teams.	https://drive.google.com/uc?id=1cRsVMy5XqgNECYK9XtX0ngKu0saWFQ46	https://drive.google.com/uc?id=15YvKE3OvZ8ZPzRZ7OG0Oy5YI9b2-UpKL
http://perfection42.com	90	Perfection42	No meta description	https://drive.google.com/uc?id=1Pjee3r7mYoCM72aukGD1rmP2DINhNVAZ	https://drive.google.com/uc?id=1NSPKfC1JgFTB9bgDdJer2tlzVLJJdUuJ
http://theperch.in	93	Perch Service Apartments in Gurgaon: Cyber City | MG Road	Service Apartments in Gurgaon in Green areas: 8,000+ reviews for our Studios, 2BHK, 1 BHK, Indep Floor, Suites & more. Most Apts with Kitchens, Work Desk. Book Direct	https://drive.google.com/uc?id=1K7cqI0R2CVpy_FEL701idn8nWEoTBwqV	https://drive.google.com/uc?id=1NFsaMMFPdZAfp9xe8Kf1hrbdOPRSK1tb
http://petotum.com	91	Petotum | Pawer Care	Experience the best care for your pets - All in on pet care service including pet insurance, pet care service & vets.	https://drive.google.com/uc?id=1ZBGpCreJZ99ZUFf7SiB53p2y6M388WB2	https://drive.google.com/uc?id=1OnrnMjwSFoPLmvVcvTdLeGoUUtxRxfSo
http://phaina.com	90	Phaina - Guided Selling für B2B Commerce	Phaina ist ein Guided Selling Lösung beziehungsweise ein künstlicher Intellligenz basierter Co-Pilot für die Product Discovery im B2B Commerce. Mithilfe der deutschen Softwarelösung finden Ihre Kund:innen daher genau das Produkt, das zu ihnen passt.	https://drive.google.com/uc?id=18H3FB6fcBk1GJpsVRHaMYsQAKO3g8w9O	https://drive.google.com/uc?id=1BL4jhG83wNHJG-Dxdy5VZdvqJGlk5xqR
http://phaze.ro	96	PhazeRo	We are a specialist digital consultancy. We unlock value by co-creating bespoke digital solutions that generate alpha for our customers.	https://drive.google.com/uc?id=1naHh1Wokf-NTepnrnZFojHge3wSRGpoU	https://drive.google.com/uc?id=1aPHjEim2gwqya7jALGeFWfYDIRdnrw6j
http://phas.io	92	Top Customer Experience Platform for Manufacturing | Phasio	Phasio is a Сomprehensive Platform for Manufacturers to order parts, design parts, and communicate with customers seamlessly.	https://drive.google.com/uc?id=1iY4mY2yFp7znsnZqakpFhve-5IK9W3P1	https://drive.google.com/uc?id=1hwywWPQE34w48K9t9zXCLzxT4jYrDqy9
http://pibox.com	92	Pibox: All-in-one Audio Collaboration Platform	Pibox is an all-in-one platform, where music production professionals manage, share, and refine audio. Perfect for project management, audio collaboration, collecting feedback, and seamless communication.	https://drive.google.com/uc?id=1ETHqpSqFuOWvOWb0w_RLCr3qNo0Jr-N_	https://drive.google.com/uc?id=1hLS2wl0dzV3Pd_QlGHPFEIAkI0YNVmrG
http://plana.earth	96	Carbon Accounting Software by Plan A	Experience the Plan A Sustainability Platform – combining advanced carbon accounting solutions with comprehensive decarbonisation strategies. Book a demo today.	https://drive.google.com/uc?id=1v8QwxOO50eNM75Evf_61rYAm27WM-Igg	https://drive.google.com/uc?id=15114wGSGle5TPO-UNStZR7nDnDEArS-R
http://pland.app	92	The All-In-One Solution For Innovative Cleaning Companies | PlanD	PlanD is the software designed specifically for your cleaning business. From scheduling and time recording to payroll and invoicing. All in one solution. Find out more!	https://drive.google.com/uc?id=1CG3TNXBw4AVuZdVxIwzx_WUJJ0UmtbVb	https://drive.google.com/uc?id=1ayP0YOIjnDfbfU4YeTUVOyhq-ZlaYBO0
http://planetdataset.com	92	Planet | Descuentos automáticos para Shopify	Planet es una app de gestión de precios y promociones para Shopify, que ayuda a programar y automatizar descuentos y cambios de precio en tu eCommerce. Además, podrás realizar otras acciones en lote como añadir etiquetas, lanzamientos de productos y mucho más.	https://drive.google.com/uc?id=1CrxkXilX-1eR8dpEN2Jw0gcZOvAzQ5V_	https://drive.google.com/uc?id=1oi0CGbzlAP2SsYMWF1q7rLYZJ7Xr9XWi
http://plantondemand.com	90	Plant on Demand	POD, la primera plataforma de gestión y venta en canales cortos para agricultores ecológicos, cooperativas, mercados y tiendas ecológicas.	https://drive.google.com/uc?id=1iQzt9N7BMf8yKOGCIDKY413DTXgC0-cY	https://drive.google.com/uc?id=1gR1YK6nwKMF1uKHXATUmDGb8NaTJUyK_
http://plasma.finance	100	Plasma Finance – Self-custodial Digital Asset Management Platform. DeFi & NFT. Powered by 0xPlasma Labs	The professional dashboard with the most popular and safe Web3, DeFi and NFT protocols in one place. We aim to simplify and democratize the DeFi market and lower the barriers to entry.	https://drive.google.com/uc?id=1f9HushZMjXEnU-ZZZQna2jIEJPDPfw5q	https://drive.google.com/uc?id=1nnTC_wPFhGreAYSRfNGTxMp1txxpXmiy
http://playmakers.co	96	PlayMakers - Turn your players into makers	Capture, audit, and monetize user-generated content (UGC) in your game. Drive higher engagement, game longevity, and unlock monetization opportunities.	https://drive.google.com/uc?id=1FfOL2ZkdVPGP-YOHaXRa-xHWUzztDw3p	https://drive.google.com/uc?id=1jgGw9v9XaBShynEd65YbeV3DNHRmtfkW
http://pledgx.com	90	PledgX	No meta description	https://drive.google.com/uc?id=1cVodDjrJY72WZ2T4fQp9oH2Rk8R0M5tH	https://drive.google.com/uc?id=1WmTXeHxUhOygh1qjJeESI0r0Ja4cBzPR
http://plotify.co.uk	94	Plotify: Revolutionizing the Way You Buy and Sell Plots	Discover Plotify, the leading marketplace for buying and selling Plots. Plotify provides an end-to-end global property investment & asset management platform with integrated, instantaneous mortgage lending.	https://drive.google.com/uc?id=1avXZEkuoF8kdDyKbjkNL1ERmVAz-J2rn	https://drive.google.com/uc?id=1ka6T8_WW0QgJdfZqu2hfVPAcRxQLFkz2
http://plumhq.com	91	Employee Healthcare and Medical Benefits - Buy Online	Best employee benefits and digital healthcare platform in India. Get transparent pricing & a quick online purchase experience with Plum Insurance.	https://drive.google.com/uc?id=1lnFePZ_H8o_X4vO2IamPghqFkSstC1sa	https://drive.google.com/uc?id=1JhC5Bss3QaLjrS-6QHRdtqOTICvqxCXn
